round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
5,Atalanta,Sassuolo,2,1,,,48,52,14,8,5,1,8,4,1,3,5,5,2,0,16,16,2,2,0,0,15,16,16,18,7,11,4,2,3,2,,,,,8,6,6,2,0,3,451,498,369,400,29,35,7,2,8,12,138,155,55,59,11,10,21,21,9,8,17,9
5,Fiorentina,Inter,1,3,,,53,47,14,17,6,5,5,7,3,5,4,8,1,1,11,15,2,3,1,0,15,10,14,17,8,7,2,5,1,2,0,2,0,2,5,13,9,4,2,5,497,429,434,366,30,21,3,8,3,4,95,96,29,33,5,10,6,9,13,5,10,14
5,Salernitana,Hellas Verona,2,2,,,50,50,15,10,4,5,7,3,4,2,4,5,0,1,13,17,2,3,0,0,16,12,26,22,5,8,4,2,2,0,0,1,0,1,12,7,3,3,3,2,369,384,287,293,28,24,7,2,11,7,168,150,67,56,22,12,18,25,15,9,17,28
5,Spezia,Juventus,2,3,,,40,60,10,26,5,9,3,8,2,9,5,15,,,14,10,2,1,0,0,7,13,17,22,10,6,2,3,2,2,2,0,1,0,7,16,3,10,6,2,346,514,272,439,24,52,5,11,10,11,122,131,46,69,10,23,19,23,4,6,26,9
5,Cagliari,Empoli,0,2,,,50,50,15,17,1,5,7,7,7,5,7,4,1,4,15,13,2,1,0,0,13,15,29,26,11,11,0,1,0,1,0,1,0,1,9,7,6,10,3,1,434,438,339,353,34,16,7,3,10,4,146,137,50,44,17,13,10,12,9,9,16,24
5,Milan,Venezia,2,0,,,67,33,14,8,4,2,7,6,3,0,4,4,1,1,12,13,0,2,0,0,13,12,14,19,7,12,3,1,1,1,,,,,8,4,6,4,2,2,637,314,559,237,31,25,8,2,18,3,124,138,64,47,11,16,22,17,9,17,7,19
5,Sampdoria,Napoli,0,4,,,48,52,13,17,5,9,3,4,5,4,5,5,2,1,10,7,2,1,0,0,6,9,18,11,7,4,0,4,0,2,0,1,0,1,5,8,8,9,5,5,456,514,387,455,28,37,2,3,9,6,121,97,33,34,5,6,13,14,9,11,9,22
5,Torino,Lazio,1,1,,,46,54,16,6,5,2,6,4,5,0,6,5,3,3,19,9,3,3,0,0,9,19,12,22,9,11,2,1,2,0,,,,,10,2,6,4,1,4,370,453,279,353,23,29,9,0,5,7,148,152,51,73,23,25,14,22,15,10,18,17
5,Roma,Udinese,1,0,,,52,48,12,8,2,3,6,5,4,0,6,6,1,2,22,8,4,1,1,0,8,21,19,18,9,8,2,1,1,1,,,,,6,6,6,2,2,1,505,469,435,392,30,25,3,3,8,13,128,135,47,58,12,8,19,16,9,13,17,21
6,Spezia,Milan,1,2,,,37,63,8,18,2,5,3,11,3,2,2,4,3,3,12,12,2,2,0,0,12,12,23,26,9,6,1,2,1,0,0,1,0,1,5,12,3,6,3,1,285,505,216,422,24,25,4,7,6,12,128,130,41,54,11,10,12,20,9,4,25,11
6,Inter,Atalanta,2,2,,,49,51,19,22,6,5,9,11,4,6,4,11,0,1,13,11,3,5,0,0,10,11,10,12,12,11,7,1,5,0,,,,,16,14,3,8,3,4,403,416,315,330,29,23,9,9,3,2,121,121,41,46,20,25,8,8,6,18,10,21
6,Genoa,Hellas Verona,3,3,,,49,51,10,13,3,7,6,5,1,1,3,2,,,13,13,3,1,0,0,12,12,31,23,5,9,2,3,0,1,1,1,1,1,4,8,6,5,4,0,405,437,314,328,15,23,3,5,9,9,155,152,42,52,11,19,10,12,14,12,17,23
6,Juventus,Sampdoria,3,2,,,51,49,16,5,6,3,6,2,4,0,4,2,0,3,22,16,4,3,0,0,14,21,18,18,7,11,4,1,2,0,,,,,9,3,7,2,1,3,463,453,370,366,35,17,4,2,11,6,134,128,41,58,11,16,6,15,12,12,11,13
