number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
192,Lille,Saint-Étienne,1,1,58,42,21,8,8,3,8,2,5,3,6,4,0,5,14,14,0,3,0,0,13,14,,,3,10,,,,,1,0,,,,,8,4,13,4,2,6,526,364,451,276,,,,,,,,,66,48,24,9,,,,,,
193,Stade Rennais,Paris Saint-Germain,0,1,47,53,12,9,1,4,7,3,4,2,5,2,0,3,15,7,0,2,0,0,5,15,,,5,11,,,,,,,,,,,4,4,8,5,3,1,522,595,440,507,,,,,,,,,38,68,9,21,,,,,,
195,Lorient,Guingamp,3,1,57,43,16,12,5,7,6,5,5,0,3,6,3,3,11,14,2,3,0,0,13,11,,,5,5,,,,,1,0,,,,,10,8,6,4,6,2,504,376,416,281,,,,,,,,,53,48,11,12,,,,,,
197,AS Nancy,Bastia,1,0,49,51,15,11,4,2,8,2,3,7,6,5,7,1,10,3,2,0,0,1,2,9,,,5,7,,,,,,,,,,,8,4,7,7,2,3,477,489,357,372,,,,,,,,,62,53,19,13,,,,,,
204,Bordeaux,Toulouse,1,0,43,57,22,8,10,6,8,0,4,2,6,4,3,0,18,16,2,1,0,1,14,18,,,2,7,,,,,1,0,1,0,,,8,1,14,7,6,9,374,472,272,367,,,,,,,,,68,78,14,21,,,,,,
196,Montpellier,Dijon FCO,1,1,54,46,24,6,3,2,12,4,9,0,14,5,1,3,8,12,,,0,0,11,6,,,8,16,,,,,,,,,,,13,4,11,2,1,2,499,445,411,341,,,,,,,,,65,44,27,13,,,,,,
201,Olympique Marseille,AS Monaco,1,4,58,42,8,14,3,9,3,3,2,2,11,6,4,0,7,7,1,1,0,0,7,7,,,6,7,3,5,2,2,,,0,1,,,5,9,3,5,5,2,580,418,495,347,37,31,9,4,11,14,,,49,58,14,13,17,24,15,13,,
212,SM Caen,AS Nancy,1,0,46,54,15,6,6,2,6,3,3,1,5,6,3,2,16,13,3,4,0,1,12,14,,,7,8,,,,,,,,,,,10,4,5,2,2,5,367,434,271,355,,,,,,,,,75,50,31,9,,,,,,
199,Nice,Metz,0,0,62,38,13,15,2,3,9,9,2,3,3,4,1,3,16,13,2,1,0,0,13,15,,,8,7,0,1,0,1,,,,,,,,,,,3,2,540,328,470,257,27,30,3,3,5,15,,,48,62,16,9,14,23,10,20,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Guingamp,Stade Rennais,1,1,61,39,15,7,4,3,7,3,4,1,4,1,6,3,11,16,2,4,0,1,16,10,,,3,8,,,,,,,,,,,10,2,5,5,2,3,504,320,400,214,,,,,,,,,61,65,31,24,,,,,,
206,Dijon FCO,Lille,0,0,53,47,19,11,4,3,10,4,5,4,10,7,1,2,17,19,2,2,0,0,16,17,,,5,7,,,,,1,0,,,,,10,4,9,7,3,4,436,401,353,330,,,,,,,,,59,66,8,17,,,,,,
209,AS Monaco,Lorient,4,0,49,51,16,6,8,3,8,3,0,0,3,6,2,2,7,12,1,1,0,0,12,7,,,7,10,,,,,1,0,,,,,12,4,4,2,3,3,439,451,348,362,,,,,,,,,60,53,12,13,,,,,,
210,Saint-Étienne,Angers SCO,2,1,54,46,11,16,4,5,6,8,1,3,6,3,3,0,8,8,2,3,0,0,7,7,,,7,8,,,,,,,0,2,,,6,8,6,8,4,3,480,399,385,303,,,,,,,,,57,70,19,26,,,,,,
202,Bastia,Nice,1,1,29,71,11,17,2,5,7,8,2,4,0,4,2,3,16,9,3,0,1,0,9,15,,,8,10,2,3,2,2,,,,,,,,,,,4,1,305,764,218,669,24,43,3,3,8,13,,,47,60,12,15,19,17,24,5,,
